name,email,phone,address
Blue Water Panglao,alice.uypuanco@bluewater.com.ph,+63 (32) 412 2436,"CRM Building, Escaio Corner Molave Streets, Cebu City 6000 Cebu"
Blue Corals Beach Resort,vivian.ulrich@yahoo.de,+63 (926) 305 0827,"Malapascua IslandBarangay Logon Daang Bantayan, Cebu City 6000 Cebu"
Blood Red Clothing,info@teambloodred.com,nan,"La Guardia Extension, Lahug, Cebu City 6000 Cebu"
Blloons,shielamarielacap@ymail.com,+63 (32) 231 6047,"Archbishop Reyes Avenue, Cebu City 6000 Cebu"
Bizaid Business Support And Services,bizaid.cebu@gmail.com,+63 (916) 841 5852,"Mezzanine D Gmt Building 2, P Del Rosario and Junquera Sts, Cebu City 6000 Cebu"
Bio-integrative Medical Trading,www.biointegrative@gmail.com,+63 (32) 516 5247,"414 Robinsons Cybergate Cebu, Don Gil Garcia Street, Capitol Site, Cebu City 6000 Cebu"
Bigstart Travel And Visa Assistance,bigstartgroup@yahoo.com,+63 (32) 402 4942,"Avenir Building Unit 10B Archbishop Reyes Avenue, , Lahug Archbishop Reyes Avenue, , Cebu City 6000 Cebu"
Bigleap Technologies,jane.megrino@bigleap.ph,+63 (032) 254 5385,"2/F The Premier Business Loft, 219 D.Jakosalem Street corner Ranudu Street, Cebu City, Cebu"
Big Pix Graphic System,bigpixgrapic@yahoo.com,+63 (32) 412 5661,"16K 1K General Echavez Exit, Cogon Ramos Street, Cebu City, Cebu"
Biao Builders,biaobuilders@yahoo.com,+63 (32) 255 3458,"3rd B. Street, Cebu City 6000 Cebu"
Bhryan Seo And Web Design,admin@bhryanseoandwebdesign.com,+63 (905) 419 7163,"29C Don Gervacio Quijada Street, Cebu City 6000 Cebu"
Beverly View,port.catering@yahoo.com,+63 (32) 516 6018,"4th Street, Beverly Hills, Lahug, Cebu City 6000 Cebu"
Beverly Boutique Business Hotel,clover@globelines.com.ph,+63 (32) 254 8570,"F. Manalo Street, Cebu City 6000 Cebu"
Beu Cebu,donna.macromagnate@gmail.com,+63 (922) 851 2223,"3/F Mango Building, General Maxilom Avenue, Cebu City 6000 Cebu"
