name,email,phone,address
Metrobank - Atm,customercare@metrobank.com.ph,nan,"Lopez Jaena Street, Subangdaku, Mandaue City, Cebu"
Metaluxe Steel Manufacturing & Sales,info@metaluxefilingcabinet.com,nan,"Lucky Plaza Building, 107 Ouano Avenue, North Reclamation Area, Mandaue City 6014 Cebu"
Merit Stainless Steel,michael.yu@meritstainless.com,nan,"Vnu Arcade 2, H. Cortes Street, Subangdaku, Mandaue City, Cebu"
Mercury Drug,info@mercurydrug.com,nan,"Fortuna Corner Bonifacio Highway, Mandaue City, Cebu"
Mega Eurostar,eurostarcorp@yahoo.com,nan,"242 Lopez Jaena Street, Tipolo, Mandaue City 6014 Cebu"
Eurostar,eurostarcebu@yahoo.com,+63 (917) 832 6118,"Hernan Cortes Street, Mandaue City 6014 Cebu"
Medina D. Gerson,mnd_gerson@yahoo.com,nan,"Blk45 Lower Malibu Subangdaku, Mandaue City, Cebu"
Maximax Systems,maxisystems@yahoo.com,nan,"G/F Friendship II Building, Highway Subangdaku, Mandaue City, Cebu"
Mario's Aircon & Refrigeration Services,mariosaircon.services@gmail.com,+63 (967) 062 1693,"A. C. Cortes Avenue, Cambaro, Mandaue City 6014 Cebu"
Mario Luvert H. Cahig,luvert@yahoo.com,nan,"Dbp, Ac Cortes Avenue, Mandaue City, Cebu"
Mapecon Philippines,cebu@mapecon.com,+63 (932) 873 4251,"1091 B. Hernan Cortez Extension, Subangdaku, Mandaue City 6014 Cebu"
