name,email,phone,address
Shintoline Incorporated,ginavel73@yahoo.com,nan,"Unit 203 Manuel Lim Building, A.S Fortuna, Mandaue City 6000 Cebu"
Sunshine Hoyo,shinejillrealty@gmail.com,+63 (917) 568 1169,"27 F & M Building, F.S. Rosal Street, Guizo, Mandaue City 6014 Cebu"
Shawarma Gourmet,joanalcudia@gmail.com,nan,"G/F Parkmall, 168 Ouano Avenue, North Reclamation Area, Mandaue City 6014 Cebu"
Severo Sy Ling,sslicebu@pldtdsl.net,+63 (905) 664 2876,"Door 25 Veloso Building, MC Briones, Mandaue City, Cebu"
Seat Leasing Cebu,lcdglobaltelecom@gmail.com,nan,"10 Mabini st., Mandaue, 10 Mandaue, looc, looc, Mandaue City, Cebu"
Scs Cleaning Solutions,scscleaningsolutions@yahoo.com,+63 (932) 44 1977,"P. Remedio Street, CABANCALAN, Mandaue City 6014 Cebu"
Santa Fe Moving & Relocation Services Philippines,santafe.cebu@santafe.com.ph,nan,"HPS Building, Plaridel Street, Alang-Alang, Mandaue City, Cebu"
Sandiham International Trading,iain@sandiham.com,nan,"Vel-Ouano Building II, Unit 12, M C Briones, Mandaue Highway, Mandaue City 6014 Cebu"
Sabina Suites,sabinasuites@yahoo.com,nan,"M.L. Quezon Street, Cabacalan, Mandaue City, Cebu"
Techni Ice,techniice.olympus@gmail.com,+63 (925) 888 7123,"SEA Olympus Building, A.C. Cortes Avenue, Mandaue City 6014 Cebu"
S L Enterprises,slenterprisesmandaue2013@gmail.com,nan,"Basak Highway, Mandaue City 6014 Cebu"
